Цена,Количество_комнат,Общая_площадь,Этаж,Ремонт,Отделка,Способ_продажи,Тип_дома,Пассажирский_лифт,Грузовой_лифт,Тип_участия,Широта_Объекта,Долгота_Объекта,комендантский проспект_dist,крестовский остров_dist,шушары_dist,парнас_dist,купчино_dist,улица дыбенко_dist,девяткино_dist,проспект ветеранов_dist,Цена_кв_м,Цена_кв_м_кат,Балкон_или_лоджия_свертка,Вид_сделки_свертка,В_доме_свертка,Двор_свертка,Мебель_свертка,Окна_свертка,Парковка_свертка,Санузел_свертка,Техника_свертка,Тип_комнат_свертка,Возраст_дома,Грузовой_лифт_no_info,Пассажирский_лифт_no_info
6000000,0,24.3,7,косметический,no_info,свободная,монолитный,1,1,no_info,59.843326,30.103587,25.185,22.447,36.668,35.673,30.278,42.796,44.176,16.337,246913.58024691357,2,1,1,0,2,2,2,2,1,0,0,0,0,0
4500000,0,26.0,1,no_info,no_info,no_info,монолитный,0,0,ДДУ по ФЗ 214,60.009836,30.25975,0.184,4.225,28.542,10.399,23.8,27.327,20.857,18.667,173076.92307692306,1,1,0,0,0,0,1,0,1,0,0,-1,1,1
5900000,0,34.5,17,требует ремонта,no_info,свободная,монолитно-кирпичный,2,2,no_info,60.061852,30.323135,9.293,12.256,29.51,1.319,26.443,24.726,13.389,25.716,171014.4927536232,1,1,0,1,2,0,2,1,1,0,0,1,0,0
6100000,1,34.0,10,no_info,no_info,свободная,монолитный,0,0,no_info,59.825868,30.553967,38.591,36.53,13.49,36.283,19.815,11.991,27.809,33.763,179411.76470588235,1,1,0,0,0,0,1,0,1,0,0,2,1,1
5600000,1,42.1,16,no_info,no_info,свободная,панельный,0,0,no_info,59.792712,30.153183,26.701,23.143,31.212,36.498,25.069,38.839,43.085,12.137,133016.6270783848,0,1,0,0,0,0,1,0,1,0,0,13,1,1
10000000,2,56.0,2,косметический,no_info,свободная,кирпичный,1,0,no_info,59.906797,30.248476,11.369,7.328,22.634,20.172,16.527,26.097,26.86,7.192,178571.42857142858,1,1,1,1,2,3,1,1,1,2,1,25,0,0
8300000,1,31.9,5,no_info,no_info,свободная,монолитный,0,0,no_info,60.005036,30.21028,5.391,6.593,32.156,15.361,26.782,32.223,26.349,18.652,260188.0877742947,3,1,0,0,0,0,1,0,1,0,0,10,1,1
3050000,0,21.0,2,евро,no_info,свободная,кирпичный,0,0,no_info,59.914615,30.32698,12.912,9.837,15.77,16.951,10.872,17.391,19.833,11.704,145238.09523809524,0,0,0,0,0,1,0,0,1,0,0,172,1,1
8300000,1,32.0,3,no_info,no_info,свободная,монолитный,0,0,no_info,59.842802,30.303238,19.078,15.142,14.611,25.145,8.182,21.261,27.794,5.851,259375.0,3,1,0,0,0,0,1,0,1,0,0,2,1,1
7200000,2,44.7,2,no_info,no_info,свободная,панельный,0,0,no_info,59.867651,30.363344,19.51,16.351,9.355,22.394,4.427,14.045,22.134,12.848,161073.8255033557,1,1,0,0,0,0,2,0,1,0,1,52,1,1
11777777,1,47.1,3,дизайнерский,no_info,свободная,монолитный,1,1,no_info,60.005931,30.197919,6.757,7.817,33.285,16.559,27.813,33.552,27.681,19.123,250058.95966029723,3,1,1,1,2,3,1,3,1,2,0,14,0,0
9000000,2,55.2,8,косметический,no_info,свободная,панельный,1,1,no_info,59.841337,30.49192,31.897,29.627,6.994,30.618,12.979,7.406,23.836,26.819,163043.47826086957,1,1,1,1,1,0,2,1,1,0,1,33,0,0
4200000,0,24.8,1,no_info,no_info,свободная,монолитный,0,0,no_info,59.837042,30.110253,25.208,22.343,35.886,35.643,29.51,42.189,43.918,15.606,169354.83870967742,1,1,0,0,0,0,1,0,1,0,0,0,1,1
13500000,3,82.6,14,no_info,no_info,свободная,монолитный,0,0,no_info,59.87771,30.473549,27.961,25.991,7.859,26.144,12.108,3.475,19.464,25.092,163438.25665859567,1,1,1,0,0,0,2,0,1,0,1,23,1,1
7700000,3,57.6,1,требует ремонта,no_info,альтернативная,панельный,0,0,no_info,59.947955,30.468061,24.226,23.336,14.755,19.937,16.668,4.813,11.696,26.878,133680.55555555556,0,1,1,0,0,0,2,0,1,0,2,0,1,1
9500000,4,60.3,3,косметический,no_info,альтернативная,панельный,0,0,no_info,59.860075,30.385631,21.714,18.732,6.873,23.704,3.543,12.063,22.069,15.14,157545.60530679935,1,1,1,1,1,1,1,1,1,0,2,57,0,0
6700000,0,32.0,16,no_info,no_info,свободная,монолитный,0,0,no_info,59.98751,30.371761,12.785,12.604,19.812,9.786,17.534,15.261,10.548,21.034,209375.0,2,1,0,0,0,0,1,0,1,0,0,0,1,1
37000000,3,113.8,4,дизайнерский,no_info,свободная,монолитно-кирпичный,1,1,no_info,59.940803,30.390491,16.473,14.967,14.224,15.372,12.447,10.962,13.486,19.027,325131.8101933216,4,1,1,1,2,3,1,1,1,3,1,9,0,0
13200000,3,75.4,14,no_info,no_info,свободная,панельный,0,0,no_info,59.95539,30.231867,6.62,3.567,26.92,16.8,21.222,28.447,25.724,12.76,175066.31299734747,1,1,0,0,0,0,2,0,1,0,1,45,1,1
9200000,2,57.2,1,дизайнерский,no_info,свободная,монолитно-кирпичный,0,0,no_info,59.845424,30.110747,24.475,21.687,35.892,34.942,29.496,41.972,43.376,15.545,160839.16083916082,1,1,1,1,2,1,1,1,1,0,1,9,0,0
4999999,0,24.2,8,no_info,чистовая,no_info,монолитный,0,0,ДДУ по ФЗ 214,59.939969,30.432721,20.792,19.58,13.335,17.889,13.788,6.685,12.302,22.977,206611.52892561984,2,0,0,0,0,0,0,0,0,0,0,-2,1,1
7700000,1,42.6,5,no_info,no_info,свободная,монолитный,0,0,no_info,59.838638,30.102177,25.674,22.901,36.792,36.149,30.413,43.04,44.583,16.497,180751.1737089202,1,1,0,0,0,0,1,0,1,0,0,1,1,1
33000000,3,106.0,2,требует ремонта,no_info,свободная,монолитный,1,1,no_info,59.965831,30.329999,9.243,7.87,19.825,11.25,15.95,18.232,15.675,16.338,311320.75471698114,4,1,1,1,2,0,2,1,2,0,1,0,0,0
5568333,0,26.6,8,no_info,чистовая,no_info,монолитный,0,0,ДДУ по ФЗ 214,59.939969,30.432721,20.792,19.58,13.335,17.889,13.788,6.685,12.302,22.977,209335.82706766916,2,0,0,0,0,0,0,0,0,0,0,-2,1,1
7990000,1,41.1,5,косметический,no_info,свободная,панельный,1,1,no_info,59.8678,30.441489,25.644,23.301,5.404,25.162,8.444,6.402,20.269,21.406,194403.89294403893,1,1,1,1,1,3,1,1,1,0,0,46,0,0
